Education,Experience,Job_Title,Age,Gender,Location,Salary_USD
Master,17,Engineer,49,Male,India,109841.07411603456
Bachelor,10,Engineer,27,Male,Hong,71949.38812752358
Master,27,Analyst,46,Female,Greece,103680.0
PhD,17,Manager,51,Male,Nicaragua,167642.53598438125
PhD,3,Analyst,34,Male,Germany,125788.66551235126
High School,16,Engineer,39,Male,Japan,25449.80520839848
High School,18,Engineer,28,Female,Trinadad&Tobago,25184.538215876666
Master,21,Engineer,59,Male,Ecuador,117681.07561229268
Bachelor,7,Engineer,49,Male,France,70373.05175274603
PhD,1,Director,43,Male,Nicaragua,175967.39615847683
Bachelor,7,Manager,33,Female,Columbia,82341.2302085631
Master,13,Manager,60,Female,France,120500.0724787734
Master,23,Manager,21,Male,Scotland,121730.9289952563
Bachelor,16,Manager,45,Male,Haiti,83782.6245342462
High School,11,Analyst,44,Female,Cuba,22080.0
Master,3,Analyst,50,Male,Vietnam,95127.7427974079
PhD,9,Analyst,61,Male,United-States,136636.2468134073
High School,7,Engineer,36,Female,Vietnam,22208.3894523963
Master,23,Director,31,Male,Scotland,138264.8925430778
High School,22,Manager,59,Male,Thailand,26357.508788821327
PhD,3,Director,27,Male,Germany,159195.3042456002
Master,22,Manager,58,Male,United-States,130560.0
Bachelor,1,Manager,41,Female,United-States,67123.8013023657
Master,11,Analyst,44,Male,South,94520.74608639508
Bachelor,13,Engineer,57,Male,China,74499.90243815447
High School,4,Engineer,63,Female,Hong,24408.3360656544
Bachelor,10,Director,56,Male,South,85089.39235664559
Bachelor,26,Engineer,52,Female,India,81951.57253006952
Master,8,Analyst,29,Male,Taiwan,92366.5971159163
Master,28,Manager,60,Male,Hungary,130560.0
PhD,28,Director,36,Male,Philippines,192000.0
High School,17,Analyst,55,Female,Portugal,21851.956499513097
Bachelor,11,Manager,23,Male,Guatemala,77380.10373419321
High School,5,Engineer,59,Female,Taiwan,25629.20894007991
PhD,18,Director,57,Male,Peru,192000.0
High School,4,Director,23,Male,Canada,26490.8077515417
High School,6,Manager,60,Male,El-Salvador,23359.870600361814
Master,24,Engineer,55,Female,Hungary,120917.64573188945
High School,7,Director,21,Male,Cambodia,25096.658777503988
PhD,28,Engineer,23,Female,Ireland,143684.9403033327
Bachelor,12,Engineer,31,Male,Guatemala,76606.25743874768
High School,3,Manager,23,Female,Iran,23175.366969459523
PhD,29,Analyst,32,Male,Cambodia,137705.30440158458
Master,8,Engineer,52,Male,Germany,110342.76860242097
Bachelor,20,Director,59,Female,El-Salvador,96000.0
PhD,21,Director,20,Male,Thailand,187453.43210873197
High School,10,Director,43,Female,Laos,27894.919195455237
Bachelor,24,Director,27,Male,Mexico,94270.04513539281
Master,1,Manager,21,Male,France,117779.65135055484
High School,17,Engineer,54,Female,England,25538.6507783499
High School,18,Manager,33,Female,Yugoslavia,24660.153943478148
High School,9,Analyst,50,Male,Italy,18222.887498326952
Master,20,Engineer,41,Female,Dominican-Republic,119277.50753211573
Bachelor,22,Engineer,37,Male,Mexico,78445.0668825289
PhD,27,Engineer,43,Female,Poland,165900.0
High School,16,Analyst,55,Male,Nicaragua,21836.35274420042
High School,17,Manager,53,Male,Peru,27360.0
High School,18,Engineer,26,Male,Hong,23383.649173104888
High School,11,Engineer,44,Female,Trinadad&Tobago,23975.674486907617
Bachelor,18,Director,54,Female,Columbia,94862.04999311654
PhD,4,Analyst,60,Female,El-Salvador,122107.94441028248
Master,8,Director,58,Female,?,133791.02601350314
Master,10,Director,29,Female,South,122019.01544446476
Bachelor,4,Manager,44,Male,Philippines,85998.64881333658
High School,8,Director,49,Female,United-States,30000.0
Bachelor,17,Analyst,25,Female,Hungary,62540.92577950536
Bachelor,3,Analyst,45,Female,Iran,50097.775485372375
Bachelor,5,Engineer,24,Female,Haiti,62334.73332499694
PhD,27,Manager,58,Female,Cambodia,174600.0
PhD,5,Engineer,20,Female,Nicaragua,117346.00039921378
Bachelor,7,Director,34,Female,Puerto-Rico,84979.33013514082
Bachelor,1,Engineer,29,Female,South,69935.10746103876
PhD,18,Analyst,56,Female,United-States,135789.72252513847
Bachelor,24,Analyst,48,Female,Ireland,69000.0
PhD,23,Director,35,Female,Dominican-Republic,192000.0
PhD,22,Engineer,22,Male,Ecuador,155111.3436588173
Master,6,Analyst,56,Male,Peru,96647.66123373233
Master,24,Analyst,27,Female,South,103680.0
PhD,28,Manager,37,Female,Outlying-US(Guam-USVI-etc),174600.0
Bachelor,20,Engineer,51,Male,Dominican-Republic,82500.0
Bachelor,15,Engineer,63,Female,Poland,79320.90931682417
Bachelor,28,Manager,61,Female,Japan,87000.0
Master,23,Analyst,35,Male,Portugal,97593.76557167993
High School,9,Manager,48,Male,Vietnam,25823.702987784585
PhD,25,Manager,62,Male,United-States,174600.0
High School,29,Manager,51,Female,Yugoslavia,27360.0
High School,3,Analyst,42,Female,Ecuador,19840.59988633425
Bachelor,27,Director,43,Male,Yugoslavia,93202.12471747951
High School,18,Director,24,Female,Japan,30000.0
Bachelor,29,Director,20,Female,Cuba,91200.64420989095
High School,16,Manager,37,Female,Canada,26558.24769701376
PhD,17,Director,26,Female,?,178137.29820361093
Master,9,Engineer,24,Female,Germany,108048.29698743642
Master,28,Director,31,Male,Haiti,144000.0
Bachelor,24,Analyst,52,Male,Yugoslavia,69000.0
High School,13,Manager,36,Male,China,25434.49486251486
High School,8,Manager,22,Male,Scotland,23490.334928683733
High School,13,Director,30,Male,Hong,28018.185229179333
High School,1,Manager,59,Male,Ireland,22843.13272196564
High School,21,Manager,58,Male,El-Salvador,27360.0
PhD,12,Manager,59,Male,Canada,163369.98934246044
Master,12,Manager,20,Male,Taiwan,127870.32850198584
Bachelor,9,Engineer,29,Female,Scotland,69687.72675696803
High School,1,Analyst,31,Male,United-States,17850.737616756363
Master,21,Engineer,64,Female,Dominican-Republic,111407.43754005035
PhD,14,Director,37,Female,Vietnam,187475.06628033493
PhD,29,Director,56,Male,Haiti,192000.0
PhD,14,Manager,61,Male,China,172169.57106315342
PhD,6,Manager,25,Male,France,148221.4653600454
High School,16,Director,61,Male,Germany,29783.782951734083
Master,8,Manager,58,Female,Mexico,121294.84961081126
Bachelor,19,Engineer,56,Male,Canada,77168.3134357834
High School,5,Manager,24,Female,Canada,23607.480820107743
PhD,15,Engineer,31,Male,Germany,152247.31047582798
PhD,13,Analyst,59,Male,Puerto-Rico,132821.08715724497
PhD,26,Engineer,49,Female,Scotland,165900.0
PhD,24,Director,63,Male,Honduras,192000.0
High School,6,Director,31,Female,Iran,28539.98294612255
Master,17,Director,62,Female,Nicaragua,143929.8415866726
Bachelor,5,Engineer,52,Female,United-States,62830.48426614778
Master,10,Analyst,21,Female,England,86622.21288626973
Master,5,Director,64,Female,United-States,139017.27542619585
Bachelor,17,Manager,54,Female,?,87000.0
PhD,19,Engineer,62,Female,Trinadad&Tobago,165900.0
PhD,6,Analyst,62,Female,Ireland,131427.17167075953
High School,22,Engineer,64,Male,Hong,26040.0
High School,15,Engineer,30,Female,Germany,21155.460109616157
Master,4,Analyst,62,Female,United-States,96119.19006150228
Bachelor,17,Engineer,60,Male,England,80849.09889757763
Bachelor,1,Director,59,Female,Peru,78056.44767775272
High School,18,Analyst,35,Female,United-States,20802.88884635575
PhD,26,Engineer,46,Female,Outlying-US(Guam-USVI-etc),161909.42990662565
High School,10,Manager,61,Female,England,24611.88118439567
Master,19,Analyst,60,Female,France,99109.30390028589
High School,2,Manager,64,Male,Laos,23517.72997436189
PhD,17,Engineer,36,Female,El-Salvador,136719.31262470185
Bachelor,18,Manager,63,Male,Iran,84076.43743481346
Master,13,Analyst,48,Female,Greece,93307.55065077134
PhD,7,Engineer,20,Male,Thailand,145128.60009393984
Master,29,Analyst,64,Female,?,100751.21802574188
Bachelor,20,Engineer,22,Male,France,71324.93694215172
High School,5,Director,42,Male,Cambodia,27903.460000135427
High School,4,Director,44,Male,France,26149.57523882113
Bachelor,7,Director,64,Female,Columbia,92409.4358429115
High School,5,Manager,39,Male,Thailand,23505.203571142967
High School,19,Manager,50,Male,?,27041.89733662472
Master,20,Director,33,Male,Holand-Netherlands,133092.45787344375
High School,7,Analyst,27,Female,Columbia,16042.853558411018
High School,13,Analyst,39,Male,Poland,18876.664798666574
Bachelor,4,Engineer,55,Male,United-States,72773.50890653206
PhD,15,Analyst,49,Female,Hong,131698.90042770994
Bachelor,20,Analyst,40,Male,Honduras,59797.67948858178
Bachelor,29,Manager,28,Female,Hungary,87000.0
Bachelor,25,Analyst,30,Female,Philippines,65900.85932146048
Bachelor,18,Analyst,61,Female,Hong,61540.32763975819
PhD,4,Engineer,54,Male,Hong,155112.06437934155
Bachelor,28,Director,31,Female,England,96000.0
Master,4,Director,28,Male,United-States,126276.62070145403
High School,2,Manager,41,Female,Yugoslavia,23255.505104901782
Master,22,Manager,24,Male,Italy,128327.29535464992
High School,20,Engineer,27,Female,?,24309.64110244721
PhD,23,Manager,41,Male,Ireland,174600.0
PhD,28,Engineer,42,Male,Trinadad&Tobago,151876.61746216204
Bachelor,5,Director,26,Female,Ireland,77765.34186039928
PhD,25,Director,39,Male,Ecuador,192000.0
High School,22,Engineer,63,Male,India,26040.0
PhD,8,Director,26,Male,Scotland,169326.40952616566
Master,11,Analyst,52,Female,Mexico,95642.24415044703
High School,11,Analyst,57,Female,Thailand,20900.800300636474
PhD,18,Director,42,Female,Nicaragua,192000.0
PhD,27,Engineer,61,Male,Mexico,165900.0
PhD,25,Analyst,41,Female,India,136958.25873068604
High School,19,Analyst,31,Female,India,18530.165095051696
Bachelor,17,Director,63,Female,Scotland,92249.87947630546
PhD,1,Manager,23,Female,Italy,158433.814187446
PhD,5,Manager,52,Female,Jamaica,165148.8751859653
Master,3,Director,49,Male,Nicaragua,126510.40272517012
Bachelor,28,Director,41,Female,Mexico,96000.0
PhD,14,Analyst,37,Female,Peru,133331.76856204585
PhD,2,Engineer,25,Male,Ireland,131766.01859424525
Bachelor,28,Engineer,47,Female,Japan,82500.0
Bachelor,3,Analyst,21,Male,France,57933.970997505174
High School,3,Analyst,53,Male,Philippines,18190.235806206405
High School,20,Engineer,60,Female,China,25851.395711858117
PhD,21,Manager,63,Female,Hungary,174600.0
Master,27,Manager,59,Male,Jamaica,130560.0
High School,13,Engineer,63,Male,United-States,25786.099623835144
High School,8,Director,57,Female,Ecuador,26943.818389752345
PhD,22,Director,50,Male,?,192000.0
Master,14,Analyst,38,Male,Cambodia,97424.93804116113
Bachelor,18,Manager,35,Male,China,83568.93603035562
Master,27,Director,60,Male,Haiti,144000.0
PhD,20,Director,49,Male,Puerto-Rico,192000.0
Master,13,Director,24,Male,Scotland,124910.63190044665
PhD,18,Engineer,62,Male,Taiwan,163409.48733811485
PhD,1,Analyst,40,Male,Portugal,115053.28064328816
High School,2,Analyst,36,Male,Iran,18462.34882458159
PhD,5,Manager,41,Female,Greece,167041.0695010372
Master,11,Director,22,Female,Haiti,119569.67776965519
Master,11,Analyst,40,Male,Canada,85039.12826722008
High School,1,Engineer,44,Male,Puerto-Rico,21449.278870808797
PhD,29,Engineer,63,Female,India,161442.40281313867
Master,27,Engineer,40,Female,Ireland,123840.0
Bachelor,3,Director,35,Male,Ecuador,77349.06111155602
High School,29,Engineer,53,Female,Portugal,26040.0
PhD,2,Director,44,Male,Greece,177403.99486030958
Bachelor,14,Analyst,44,Male,Cuba,67683.35561475778
Master,20,Engineer,60,Male,Greece,123840.0
Bachelor,16,Director,47,Male,Laos,87922.85141354831
Bachelor,18,Manager,23,Female,Ireland,74886.91933969189
High School,5,Analyst,39,Male,Ireland,19584.81015199388
Bachelor,8,Analyst,32,Male,Iran,49812.20971234226
Bachelor,22,Director,64,Female,Outlying-US(Guam-USVI-etc),96000.0
PhD,7,Director,30,Male,Scotland,168274.0566187161
Bachelor,10,Analyst,29,Male,China,50918.74535556345
PhD,16,Director,48,Male,South,192000.0
Master,19,Engineer,51,Male,Poland,117047.70081164115
High School,22,Director,43,Female,Vietnam,30000.0
Bachelor,29,Analyst,33,Male,Germany,66217.71130748476
Bachelor,11,Engineer,25,Male,Dominican-Republic,70571.60953831117
PhD,19,Director,60,Female,Hong,179321.6408125947
PhD,3,Engineer,27,Male,Canada,129376.57200765196
High School,18,Director,61,Male,Dominican-Republic,29934.367495936174
Bachelor,4,Analyst,36,Male,France,59452.52915502123
Master,25,Analyst,59,Female,Philippines,103680.0
High School,20,Engineer,55,Female,Canada,25953.0983714155
Bachelor,17,Analyst,62,Female,El-Salvador,68455.26312450111
Master,24,Analyst,48,Male,Puerto-Rico,103680.0
Bachelor,13,Engineer,37,Female,Japan,73756.19256479846
Master,4,Engineer,57,Female,Dominican-Republic,115021.30829391065
Bachelor,14,Analyst,21,Male,Germany,56624.42880308325
PhD,25,Engineer,37,Female,Philippines,165900.0
Master,3,Engineer,50,Male,Cambodia,98003.60699474264
PhD,21,Director,54,Male,Haiti,192000.0
Bachelor,4,Manager,23,Male,India,68972.46673146817
Master,18,Analyst,53,Male,Outlying-US(Guam-USVI-etc),100783.99077780395
PhD,13,Analyst,63,Male,Jamaica,135723.51493992697
Master,7,Director,45,Female,Trinadad&Tobago,144000.0
Master,11,Analyst,21,Male,Hungary,89215.81862094723
Master,11,Analyst,54,Male,Greece,98901.01654304257
High School,6,Analyst,59,Male,Dominican-Republic,19004.64814671695
PhD,11,Engineer,60,Female,Portugal,162310.16403286436
Master,9,Analyst,38,Female,Japan,92852.72626762475
Master,16,Analyst,61,Female,Ecuador,97060.91853302669
PhD,28,Manager,41,Female,Jamaica,168469.40461633162
Master,5,Director,48,Male,Iran,127510.87903276997
Master,20,Director,21,Male,Trinadad&Tobago,137099.5588742028
High School,23,Engineer,61,Male,Thailand,25606.81898284552
Bachelor,6,Analyst,58,Female,Portugal,54826.277896325024
High School,4,Analyst,32,Male,Trinadad&Tobago,16376.914173973515
PhD,8,Analyst,35,Male,Scotland,122915.04799338887
Master,25,Analyst,48,Male,Ecuador,103680.0
High School,25,Engineer,45,Female,Outlying-US(Guam-USVI-etc),26040.0
High School,16,Manager,42,Female,Portugal,26412.575633814846
Master,16,Director,47,Male,Greece,132656.72395038648
PhD,11,Manager,33,Female,Jamaica,154815.39498820307
Bachelor,20,Analyst,53,Female,Japan,67792.77246584473
PhD,14,Manager,34,Male,United-States,168782.93256028785
Master,8,Manager,28,Female,England,122329.21485973231
Master,25,Director,24,Male,El-Salvador,137492.2940123804
Bachelor,6,Manager,41,Female,Yugoslavia,69925.4904190917
Bachelor,8,Manager,48,Female,Cambodia,84956.4826410312
Master,19,Manager,42,Female,Laos,129341.80999978012
PhD,8,Engineer,34,Male,Mexico,134743.72832337837
Bachelor,29,Engineer,20,Female,Nicaragua,73017.63454928646
Master,25,Engineer,57,Male,Thailand,122385.64150289832
Bachelor,1,Manager,29,Male,Hong,68155.81788536833
PhD,13,Engineer,53,Female,Canada,161810.52064596827
Master,8,Manager,60,Female,Nicaragua,118397.08476874976
PhD,21,Manager,60,Male,Columbia,174600.0
High School,9,Engineer,27,Female,United-States,20964.26715404378
Bachelor,16,Analyst,46,Male,Hungary,61731.40719042693
Bachelor,21,Manager,49,Male,Thailand,85035.41372729465
Master,5,Manager,37,Male,Ecuador,113861.72661801311
Master,11,Director,30,Female,Nicaragua,129552.18706392343
High School,17,Engineer,63,Female,Vietnam,26040.0
Master,21,Director,53,Female,China,144000.0
Bachelor,27,Manager,21,Female,India,81888.05918127096
PhD,9,Director,58,Female,Trinadad&Tobago,192000.0
Master,17,Manager,39,Male,Honduras,130560.0
High School,15,Director,49,Male,South,28085.493438750436
PhD,1,Manager,26,Female,Haiti,147761.95148085055
Bachelor,21,Engineer,25,Male,Scotland,81582.00840801389
Master,24,Director,24,Male,Portugal,134787.02347533524
High School,16,Director,22,Male,Portugal,28001.670322555907
Master,13,Analyst,60,Male,El-Salvador,98503.89018091888
Bachelor,20,Analyst,60,Female,Columbia,65038.32059633952
Master,24,Engineer,36,Female,Japan,120344.63601897926
Bachelor,24,Manager,27,Female,Thailand,81907.77761937586
High School,3,Analyst,60,Male,France,20535.015943498827
High School,28,Engineer,44,Female,Yugoslavia,24444.007504318415
Bachelor,14,Engineer,43,Female,Poland,70063.09939887615
High School,3,Manager,42,Male,South,24904.628028189523
Master,18,Manager,61,Male,England,123691.94352726843
High School,24,Director,26,Male,Portugal,29590.431651647265
PhD,28,Director,34,Female,United-States,191048.4119239705
Bachelor,14,Engineer,59,Male,Outlying-US(Guam-USVI-etc),77680.32721073127
Master,17,Engineer,44,Male,Trinadad&Tobago,116673.77134542179
High School,24,Engineer,51,Female,Canada,26040.0
Master,6,Director,40,Male,Hong,118982.8397667707
PhD,26,Analyst,38,Male,Ecuador,139800.0
High School,8,Manager,55,Female,Portugal,24057.31924423715
High School,2,Engineer,52,Male,Hungary,20912.217683831113
Bachelor,18,Director,40,Male,Taiwan,89486.44185689092
High School,3,Director,44,Female,France,25919.77960956703
Bachelor,29,Manager,52,Male,Italy,87000.0
High School,21,Analyst,47,Female,Ecuador,21247.802039424016
Master,2,Engineer,64,Male,Guatemala,95245.23840621019
PhD,5,Manager,56,Female,Haiti,173380.30985876487
PhD,22,Director,38,Male,Honduras,188580.4417900687
High School,9,Analyst,42,Male,Ireland,19160.24173020704
Master,29,Engineer,54,Male,England,123840.0
Bachelor,19,Director,51,Female,?,96000.0
PhD,2,Director,38,Male,Cuba,162341.3798118459
PhD,23,Manager,34,Male,Germany,174600.0
High School,4,Director,27,Female,China,25674.701240564074
Master,17,Engineer,31,Female,Greece,107526.2076713727
High School,4,Director,30,Male,Hong,24958.988879403612
Master,26,Manager,58,Male,Hungary,130560.0
High School,6,Manager,61,Female,France,26650.67152684244
PhD,2,Analyst,42,Male,Iran,122757.17736013935
Master,4,Analyst,20,Female,Guatemala,75841.14405799308
Master,8,Director,54,Female,Taiwan,144000.0
High School,2,Director,37,Male,Haiti,27889.981263678506
High School,2,Director,62,Female,Scotland,27962.83238284682
Master,8,Analyst,26,Male,Taiwan,79681.29263164333
Bachelor,26,Analyst,23,Male,Nicaragua,64624.290047152506
PhD,5,Director,60,Male,Poland,190283.6011225494
Bachelor,14,Analyst,47,Male,Taiwan,56842.648204020144
Bachelor,13,Manager,32,Male,Greece,75974.92926686062
Bachelor,19,Analyst,59,Male,Philippines,65334.81264340044
High School,28,Manager,41,Female,Japan,27330.366892967246
Master,1,Director,45,Female,Ecuador,125593.8843510854
Bachelor,12,Manager,20,Male,Japan,77682.28230282529
Bachelor,20,Engineer,63,Female,Jamaica,82500.0
PhD,3,Director,54,Male,Hungary,192000.0
PhD,14,Manager,21,Male,Thailand,158309.76359500896
Bachelor,5,Manager,63,Female,United-States,75220.24794108496
PhD,17,Analyst,57,Male,Jamaica,136334.85094230968
Bachelor,17,Manager,63,Female,Portugal,87000.0
PhD,11,Analyst,45,Male,Outlying-US(Guam-USVI-etc),128305.6858042608
Master,26,Manager,43,Male,Canada,127333.321440284
High School,12,Manager,62,Female,Iran,25607.407984068777
Master,4,Analyst,24,Male,Cuba,82078.16215267612
Bachelor,9,Engineer,27,Male,Iran,72833.36972712677
Bachelor,20,Manager,49,Female,Nicaragua,86797.16282815223
Bachelor,15,Manager,21,Male,Mexico,82036.01412189497
Bachelor,1,Director,43,Female,Ecuador,89037.5482204326
Master,21,Analyst,43,Female,Iran,95472.60392240106
High School,21,Analyst,44,Female,Taiwan,20456.953552010986
Bachelor,1,Engineer,45,Male,Japan,61667.816771639955
Master,3,Director,25,Female,Laos,110193.43882373607
PhD,12,Engineer,42,Male,?,160639.74072053682
Bachelor,6,Engineer,36,Female,?,74780.07442720864
PhD,22,Manager,51,Male,Jamaica,174600.0
Bachelor,25,Manager,20,Female,Hungary,79591.75271902993
Bachelor,3,Analyst,23,Male,Philippines,53663.96307871645
Master,8,Director,53,Male,Dominican-Republic,141167.3624608302
High School,13,Analyst,51,Female,?,18564.378607222854
Master,12,Director,26,Male,Greece,134924.50902924058
Master,20,Analyst,20,Male,Thailand,92216.55614424698
PhD,29,Engineer,28,Female,Laos,156092.12528563617
Master,23,Engineer,44,Female,Jamaica,123402.02808335639
Master,2,Engineer,26,Female,Columbia,84740.16493954526
Master,17,Manager,31,Male,Puerto-Rico,114863.33902338413
High School,19,Director,24,Female,India,27694.14358460623
PhD,19,Director,57,Male,Nicaragua,192000.0
Bachelor,15,Manager,27,Female,Japan,83353.95302628854
Bachelor,22,Director,45,Female,Italy,96000.0
PhD,16,Analyst,62,Female,Laos,130348.64311644465
PhD,16,Engineer,25,Female,Dominican-Republic,145161.1964794411
Master,6,Manager,57,Male,Peru,115184.68899381452
PhD,2,Engineer,24,Female,Poland,125260.87941868133
Master,11,Director,62,Male,China,144000.0
Master,3,Manager,32,Female,Dominican-Republic,111203.44098948661
Bachelor,28,Director,36,Male,United-States,95853.80214908857
PhD,9,Engineer,25,Female,England,123656.63259430285
Bachelor,24,Director,33,Male,Hungary,93388.65238928085
PhD,20,Manager,31,Female,France,163023.2303397115
Bachelor,16,Director,42,Male,Peru,86279.3660340306
Master,8,Manager,62,Male,Yugoslavia,130560.0
Master,13,Manager,59,Male,United-States,130560.0
Bachelor,4,Manager,20,Male,Ireland,67741.71315011512
Master,2,Analyst,44,Male,?,85752.47034958567
High School,17,Director,47,Male,Laos,28781.343407890476
Bachelor,18,Director,50,Female,Columbia,91341.09856845673
Bachelor,17,Engineer,44,Female,Germany,79024.40059542359
PhD,25,Manager,48,Male,Jamaica,174600.0
Master,25,Manager,44,Female,Thailand,130560.0
High School,27,Engineer,50,Female,Ecuador,26040.0
PhD,6,Director,52,Female,Peru,184807.36832620268
Bachelor,20,Director,55,Female,Greece,96000.0
High School,27,Director,42,Male,South,30000.0
High School,11,Manager,28,Female,Scotland,24231.533456092533
Master,20,Manager,23,Female,Iran,123277.82565505158
Bachelor,18,Engineer,56,Male,Iran,82500.0
PhD,14,Analyst,34,Female,Puerto-Rico,128391.67394230349
High School,1,Analyst,56,Male,Honduras,16789.851450276365
Bachelor,23,Manager,37,Male,Haiti,85444.04290624984
Master,2,Director,39,Male,Iran,130027.31829953205
Bachelor,7,Director,44,Male,Poland,79443.12538158425
Master,10,Analyst,44,Female,Cambodia,90067.05620888722
Bachelor,6,Director,55,Male,United-States,80632.39251565257
PhD,13,Analyst,21,Female,Yugoslavia,131035.66514289648
Bachelor,11,Manager,32,Female,Hong,75240.00766562604
PhD,24,Manager,40,Female,El-Salvador,174600.0
Master,17,Director,27,Male,Philippines,133124.022843946
High School,28,Director,42,Female,Ireland,28999.501490905586
High School,18,Analyst,64,Male,Taiwan,22025.950930817377
PhD,5,Director,35,Female,Iran,158690.48998400368
Bachelor,29,Manager,52,Male,Japan,87000.0
Bachelor,26,Director,53,Male,Honduras,96000.0
Bachelor,15,Director,33,Male,Poland,90605.16414312762
High School,14,Director,21,Male,Yugoslavia,25717.897821811366
Master,22,Manager,23,Female,Jamaica,128170.02133926183
Master,18,Director,59,Female,Mexico,144000.0
Master,7,Analyst,56,Male,Taiwan,85077.2323162297
High School,29,Engineer,58,Female,Japan,26040.0
Master,11,Analyst,47,Male,United-States,100912.65457226578
PhD,6,Analyst,54,Female,Outlying-US(Guam-USVI-etc),127130.94973186059
PhD,5,Analyst,58,Female,United-States,130474.70659628483
High School,5,Manager,45,Male,Taiwan,23015.672742206654
Bachelor,21,Analyst,36,Female,Guatemala,66022.64077973964
Master,24,Director,29,Male,Philippines,139420.6632876718
Master,19,Manager,45,Male,?,128806.15950621739
PhD,19,Engineer,20,Female,Jamaica,152428.58001337099
High School,23,Analyst,35,Male,England,19915.614708747955
Bachelor,22,Engineer,36,Male,India,82500.0
Master,11,Director,62,Male,Cambodia,138324.62895306764
High School,12,Director,56,Male,Columbia,30000.0
High School,28,Analyst,27,Female,Guatemala,21325.5902986844
Master,28,Director,43,Female,South,144000.0
Bachelor,15,Director,60,Female,Trinadad&Tobago,96000.0
Master,20,Director,58,Female,Taiwan,144000.0
High School,17,Manager,57,Female,South,26543.45677551353
PhD,25,Engineer,57,Male,Jamaica,165900.0
PhD,25,Analyst,24,Female,Haiti,122921.06862804735
High School,2,Engineer,54,Female,United-States,20909.79849674378
High School,9,Manager,42,Female,Vietnam,25646.76926268696
Bachelor,8,Director,50,Male,Canada,93656.03072425906
High School,6,Director,53,Male,Japan,29544.23193064795
Bachelor,16,Manager,47,Female,El-Salvador,84997.51981244165
High School,24,Director,27,Female,Ireland,29329.59313147713
Bachelor,10,Analyst,33,Female,Hungary,62807.64859443053
Master,21,Analyst,45,Female,United-States,103680.0
PhD,1,Engineer,57,Male,Portugal,126805.61904263948
Bachelor,24,Manager,51,Male,Yugoslavia,83939.80188745615
PhD,15,Manager,56,Female,Laos,174600.0
Master,3,Analyst,59,Female,United-States,76828.84028170512
Bachelor,20,Director,28,Female,England,91474.27489100324
Master,26,Manager,38,Male,Hungary,130560.0
Bachelor,22,Manager,40,Female,Haiti,84004.76764803717
PhD,5,Director,45,Female,Taiwan,178068.24300626514
Master,1,Manager,59,Male,Greece,110560.72646258754
High School,28,Director,49,Male,Taiwan,30000.0
Master,27,Engineer,22,Female,Nicaragua,115228.84726854984
Bachelor,21,Engineer,60,Female,Germany,82500.0
PhD,6,Director,37,Female,Jamaica,164246.8821397266
High School,27,Engineer,60,Female,Honduras,26040.0
High School,25,Director,59,Male,Poland,30000.0
Master,18,Director,53,Male,Nicaragua,144000.0
Master,5,Manager,23,Female,England,118846.01877504062
High School,25,Director,46,Male,Peru,30000.0
Master,1,Director,44,Female,Poland,125950.85272170023
PhD,18,Director,50,Female,Taiwan,192000.0
High School,18,Director,21,Female,Hong,27676.410747408736
High School,9,Director,62,Male,Scotland,28915.23605290812
Master,10,Analyst,38,Male,Haiti,87487.28226924282
Master,5,Analyst,27,Male,United-States,84785.44502961892
Bachelor,10,Analyst,63,Male,Vietnam,61817.15538694334
Master,13,Engineer,25,Male,Poland,112743.0747264502
High School,17,Manager,60,Female,Ireland,27342.497959347205
High School,4,Engineer,57,Male,El-Salvador,21668.44746168009
Bachelor,1,Engineer,39,Female,France,57291.05988894202
Bachelor,15,Analyst,54,Female,Germany,68511.08280119137
High School,24,Analyst,41,Male,Japan,22080.0
Bachelor,1,Manager,56,Male,Ecuador,73546.43716305986
High School,25,Director,44,Female,India,30000.0
Master,29,Engineer,50,Female,Laos,116931.84016418671
High School,12,Manager,21,Female,South,25331.51506689942
Bachelor,2,Director,20,Female,Jamaica,91457.6618220939
Master,19,Engineer,44,Male,Puerto-Rico,118309.29442014941
High School,15,Manager,24,Male,China,26195.623506658307
High School,13,Engineer,20,Female,Dominican-Republic,20962.567463825882
Bachelor,9,Manager,56,Female,China,84728.91524038537
Bachelor,6,Engineer,40,Female,Hong,70761.20658228925
PhD,25,Director,24,Female,Mexico,181832.57427455753
High School,3,Engineer,25,Female,Columbia,19231.532788149732
Master,18,Analyst,34,Female,Guatemala,91509.17340739329
Bachelor,16,Engineer,42,Male,Poland,73408.63631135478
Master,4,Director,35,Female,Vietnam,129235.52277761053
PhD,22,Analyst,39,Male,Philippines,130023.5888620476
Bachelor,17,Director,32,Male,Poland,96000.0
Master,19,Director,59,Female,Dominican-Republic,144000.0
High School,6,Manager,52,Male,Canada,25229.531790750047
Master,25,Director,50,Female,United-States,140386.71233553145
High School,23,Director,40,Male,Honduras,30000.0
Master,19,Director,40,Female,Peru,143924.8960435768
High School,8,Analyst,25,Female,Mexico,18705.610735354272
High School,24,Engineer,30,Female,El-Salvador,24305.567339797435
Master,18,Analyst,44,Male,Hong,101679.25019116366
Bachelor,27,Director,31,Female,Cambodia,93781.27132265473
High School,25,Director,41,Female,Mexico,29280.810904230544
Bachelor,20,Construction Worker,62,Female,Mexico,27408.317909335223
Bachelor,26,Logistics Coordinator,42,Male,Dominican-Republic,50069.95250789647
